exchange,symbol,%,Company,ICB Sector,Canton
SW,RIGN,0.49,Transocean,oil equipment and services,Geneva
SW,BAER,0.91,Julius Baer Group,banks,Zurich
SW,SGSN,0.97,SGS,business support services,Geneva
SW,GEBN,1.18,Geberit,building materials and fixtures,St. Gallen
SW,ATLN,1.20,Actelion,biotechnology,Basel
SW,ADEN,1.23,Adecco,business training and employment agencies,Zurich
SW,UHR,1.23,Swatch Group,clothing and accessories,Bern
SW,SCMN,1.27,Swisscom,fixed line telecommunications,Bern
SW,GIVN,1.39,Givaudan,specialty chemicals,Geneva
SW,HOLN,1.53,Holcim,building materials and fixtures,St. Gallen
SW,SREN,2.76,Swiss Re,reinsurance,Zurich
SW,SYNN,2.87,Syngenta,specialty chemicals,Basel
SW,CSGN,3.26,Credit Suisse,banks,Zurich
SW,CFR,4.03,Richemont,clothing and accessories,Geneva
SW,ZURN,4.19,Zurich Insurance Group,full line insurance,Zurich
SW,ABBN,4.35,ABB,electronic equipment,Zurich
SW,UBSG,5.33,UBS,banks,Zurich
SW,ROG,16.71,Roche,pharmaceuticals,Basel
SW,NESN,22.05,Nestlé,food products,Vaud
SW,NOVN,23.03,Novartis,pharmaceuticals,Basel